ald,ami,plqy,class
10,2,29.89,good
11,2,8.2,good

2,2,1.2,bad
4,10,2.66,bad

12,2,12.2,good
11,8,15.8,good

13,6,nan,bad
16,6,nan,bad
20,12,nan,bad

19,6,nan,bad
19,12,nan,bad

16,17,nan,bad
4,2,0,bad
2,1,0,bad

5,5,8.71,good
2,11,0.05,bad
14,20,0.73,bad
2,20,0.47,bad

31,1,5.10,good
4,11,0.18,bad

10,20,1.05,bad
10,11,15.91,good
10,5,0.61,bad
19,20,1.14,bad
19,10,0,bad



12,7,5.9,good
14,14,0,bad
14,1,3.74,bad
14,3,0,bad

1,3,0,bad
13,1,1,bad
15,1,0.5,bad
5,13,16.5,good

16,15,2.2,bad
5,11,9.8,good
18,15,2.75,bad
19,15,0.7,bad

4,11,0.3,bad
12,10,28,good
20,15,0.4,bad
13,15,0.3,bad

13,3,0.1,bad
12,11,6.8,good
12,3,0,bad
5,7,36.5,good

21,15,0.7,bad
16,3,0.37,bad
22,15,2,bad
16,1,0.16,bad

14,11,0,bad
19,7,5.71,good
21,11,0.83,bad

21,7,0,bad
14,4,0,bad
25,11,3.6,bad
2,5,0,bad

2,4,0,bad
14,5,0.01,bad
4,20,0.73,bad
4,4,0,bad

32,16,17.22,good
3,1,0.5,bad
1,1,0.03,bad
5,3,10.6,good

5,4,9.4,good
7,2,11,good
5,2,21,good
5,1,41.3,good

9,1,0.4,bad
4,5,0,bad
6,5,0.17,bad
8,1,1.8,bad

32,8,30.18,good
32,1,20.53,good
24,18,0.02,bad
28,1,nan,nan

32,8,7.1,good
21,18,nan,nan
25,1,10,good
28,16,nan,nan

22,20,nan,nan
5,28,nan,nan
21,16,nan,nan
4,3,nan,nan

40,19,nan,nan
8,7,nan,nan
9,3,nan,nan
9,7,nan,nan

26,2,nan,nan
18,16,nan,nan
10,16,nan,nan
18,11,nan,nan

18,1,nan,nan
18,2,nan,nan
18,6,nan,nan
25,2,nan,nan

12,4,8.04,good
26,16,nan,nan
18,18,nan,nan
18,21,nan,nan

31,11,5.48,good
33,5,nan,nan
10,4,9.97,good
33,11,nan,nan

9,5,nan,nan
9,11,nan,nan
9,4,nan,nan
9,20,nan,nan

39,11,nan,nan
5,10,nan,nan
39,20,nan,nan
12,2,nan,nan
